AATS2i,BIC3,ETA_BetaP_s,GATS6m,IC2,JGI3,MDEN-22,MLFER_BO,WTPT-5,maxHother,maxaaN,maxssNH,nT6HeteroRing
-0.442574123,-0.565543941,1.147410637,1.026394606,0.129648373,-0.32437471,0.793170798,1.075255287,1.186513943,-0.436185815,1.723978892,0.606114011,0.706908392
-0.601423928,-0.649141424,0.704994867,0.864439209,0.248934366,-0.32437471,0.793170798,1.330949947,1.186513943,-0.540225202,1.797659325,0.638284792,0.706908392
-0.113559645,-0.194239232,0.262579097,1.074684213,0.550591679,0.681474858,0.793170798,1.31032941,1.110115792,0.122188721,1.54809213,0.495161652,-0.443869406
0.113435754,-0.406793044,0.878081003,0.324877752,0.28172601,0.470477706,0.793170798,1.607265144,1.732086621,0.118441424,1.596385792,0.582986722,0.706908392
-0.756663409,0.945685052,0.641846958,0.881899666,0.977921106,0.825545582,1.212842621,1.18248208,1.123745479,0.125361569,1.562801347,0.696097694,0.706908392
-0.601423928,-0.390858786,0.704994867,0.928700026,0.352096889,-0.111080409,0.793170798,1.348477404,1.187858103,-0.543130236,1.814392315,0.718515142,0.706908392
-0.619940841,0.450036027,0.868190366,0.4912575,0.844139731,-0.004433202,0.793170798,1.356725619,1.155089754,-1.126869511,2.018920062,0.893044362,0.706908392
-0.182929205,-0.521948691,0.61179464,0.555132158,0.202906948,-0.48276005,0.793170798,1.666033675,1.730831508,-0.618615723,1.835351286,0.713913599,0.706908392
-0.433643875,-0.355394522,-0.037563674,1.079316276,0.392838661,0.080959813,0.793170798,1.369097941,1.109579273,-0.638259245,1.801746034,0.701976736,-0.443869406
-1.061117655,0.561094591,0.343606233,1.051808411,0.748394224,-0.182907755,1.212842621,1.241250611,1.122490369,-0.625093763,1.801766843,0.760659458,0.706908392
